seed,seed_type,kind,rank,term,term_norm,value
google,platform,query,top,google chat,google chat,4.0
google,platform,query,top,google map,google map,4.0
google,platform,query,top,google news,google news,4.0
google,platform,query,top,google studio,google studio,3.0
google,platform,query,rising,27.º aniversario del nacimiento de google,27 º aniversario del nacimiento de google,28450.0
google,platform,query,rising,nano banana google,nano banana google,12950.0
google,platform,query,rising,google pixel 10 pro xl,google pixel 10 pro xl,2600.0
google,platform,query,rising,google pixel 10 pro,google pixel 10 pro,2000.0
google,platform,query,rising,google pixel 10,google pixel 10,1800.0
google,platform,query,rising,www google com search,www google com search,1150.0
google,platform,query,rising,google flow,google flow,550.0
google,platform,query,rising,ai studio google,ai studio google,400.0
google,platform,query,rising,google news,google news,400.0
google,platform,query,rising,gemini google,gemini google,350.0
google,platform,query,rising,google notebooklm,google notebooklm,350.0
google,platform,query,rising,google business profile,google business profile,350.0
google,platform,query,rising,google pixel 9a,google pixel 9a,300.0
google,platform,query,rising,google ai,google ai,300.0
google,platform,query,rising,google studio,google studio,200.0
google,platform,query,rising,google notebook,google notebook,200.0
google,platform,query,rising,ia google,ia google,160.0
google,platform,query,rising,ia de google,ia de google,120.0
google,platform,query,rising,google business,google business,100.0
google,platform,query,rising,google stock,google stock,90.0
google,platform,query,rising,google doodle games,google doodle games,90.0
google,platform,query,rising,google account,google account,90.0
google,platform,query,rising,google one,google one,90.0
google,platform,query,rising,google games,google games,80.0
google,platform,query,rising,google form,google form,80.0
google,platform,topic,top,Google,google,97.0
google,platform,topic,top,Google Maps,google maps,22.0
google,platform,topic,top,Google Translate,google translate,17.0
google,platform,topic,top,Map,map,11.0
google,platform,topic,top,Google Flights,google flights,3.0
google,platform,topic,top,Google Search,google search,3.0
google,platform,topic,top,Google Docs,google docs,3.0
google,platform,topic,top,Google Drive,google drive,2.0
google,platform,topic,top,Google Scholar,google scholar,2.0
google,platform,topic,top,Google Photos,google photos,2.0
google,platform,topic,top,Google Earth,google earth,2.0
google,platform,topic,top,Google Play,google play,1.0
google,platform,topic,top,User Account,user account,0.0
google,platform,topic,top,Anniversary,anniversary,0.0
google,platform,topic,top,Google AI Studio,google ai studio,0.0
google,platform,topic,rising,Google AI Studio,google ai studio,33900.0
google,platform,topic,rising,Anniversary,anniversary,2150.0
google,platform,topic,rising,User Account,user account,250.0
google,platform,topic,rising,Google Search,google search,110.0
